NU_ANO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_CURSO;CO_MODALIDADE;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO;NU_IDADE;TP_SEXO;ANO_FIM_EM;ANO_IN_GRAD;CO_TURNO_GRADUACAO;TP_INSCRICAO_ADM;TP_INSCRICAO;NU_ITEM_OFG;NU_ITEM_OFG_Z;NU_ITEM_OFG_X;NU_ITEM_OFG_N;NU_ITEM_OCE;NU_ITEM_OCE_Z;NU_ITEM_OCE_X;NU_ITEM_OCE_N;DS_VT_GAB_OFG_ORIG;DS_VT_GAB_OFG_FIN;DS_VT_GAB_OCE_ORIG;DS_VT_GAB_OCE_FIN;DS_VT_ESC_OFG;DS_VT_ACE_OFG;DS_VT_ESC_OCE;DS_VT_ACE_OCE;TP_PRES;TP_PR_GER;TP_PR_OB_FG;TP_PR_DI_FG;TP_PR_OB_CE;TP_PR_DI_CE;TP_SFG_D1;TP_SFG_D2;TP_SCE_D1;TP_SCE_D2;TP_SCE_D3;NT_GER;NT_FG;NT_OBJ_FG;NT_DIS_FG;NT_FG_D1;NT_FG_D1_PT;NT_FG_D1_CT;NT_FG_D2;NT_FG_D2_PT;NT_FG_D2_CT;NT_CE;NT_OBJ_CE;NT_DIS_CE;NT_CE_D1;NT_CE_D2;NT_CE_D3;CO_RS_I1;CO_RS_I2;CO_RS_I3;CO_RS_I4;CO_RS_I5;CO_RS_I6;CO_RS_I7;CO_RS_I8;CO_RS_I9;QE_I01;QE_I02;QE_I03;QE_I04;QE_I05;QE_I06;QE_I07;QE_I08;QE_I09;QE_I10;QE_I11;QE_I12;QE_I13;QE_I14;QE_I15;QE_I16;QE_I17;QE_I18;QE_I19;QE_I20;QE_I21;QE_I22;QE_I23;QE_I24;QE_I25;QE_I26;QE_I27;QE_I28;QE_I29;QE_I30;QE_I31;QE_I32;QE_I33;QE_I34;QE_I35;QE_I36;QE_I37;QE_I38;QE_I39;QE_I40;QE_I41;QE_I42;QE_I43;QE_I44;QE_I45;QE_I46;QE_I47;QE_I48;QE_I49;QE_I50;QE_I51;QE_I52;QE_I53;QE_I54;QE_I55;QE_I56;QE_I57;QE_I58;QE_I59;QE_I60;QE_I61;QE_I62;QE_I63;QE_I64;QE_I65;QE_I66;QE_I67;QE_I68
2019;1196;10005;10020;90;111266;0;4115200;41;4;38;F;2015;2016;NA;1;0;8;1;0;0;27;2;3;0;ZDCBCCDB;ZDCBCCDB;DZCEAECBDCDEEDBEEDBECDZEADC;DZXEAECBDCDEEDBEEXBECXZEADC;EDECECEB;81000101;EAECAEDEDEDEADBDEEBECEDEADC;089011001011011019111981111;555;555;555;555;555;555;555;333;555;555;555;59,6;31,5;42,9;14,5;29;65;20;0;0;0;69;68,2;73,3;70;100;50;D;C;C;B;B;C;B;D;D;B;A;A;B;B;C;E;C;E;E;H;A;F;A;A;51;E;D;C;J;B;C;B;E;A;B;6;6;6;5;6;6;5;4;4;4;4;5;4;6;6;6;8;1;5;8;1;1;4;7;6;1;8;8;6;5;5;6;6;6;6;7;7;6;6;8;8;2
2019;1196;10005;10020;90;111266;0;4115200;41;4;52;M;1985;2016;NA;1;0;8;1;0;0;27;2;3;0;ZDCBCCDB;ZDCBCCDB;DZCEAECBDCDEEDBEEDBECDZEADC;DZXEAECBDCDEEDBEEXBECXZEADC;BDCCCCDC;81101110;DACAABDBDCDEEBAEAEBECDBEAEC;189010011111100109111981101;555;555;555;555;555;555;555;555;555;555;555;59,4;47,8;71,4;12,5;11;55;0;14;70;0;63,2;68,2;35;30;50;25;D;D;C;B;B;C;E;E;D;E;A;A;B;D;C;F;E;F;D;C;A;A;A;D;41;A;A;C;A;A;D;C;E;F;H;6;6;6;6;6;7;6;6;6;6;6;6;6;6;6;6;6;6;6;7;6;6;6;7;6;7;7;8;6;6;6;6;6;6;6;7;7;6;6;7;7;6
